employee_id,name,department,age,salary,years_at_company,performance_score,remote_worker,city
145,Chad Walsh,Sales,34,115813.0,7,,True,Port Jamesville
146,Michael Evans,Operations,44,101830.0,4,2.11,False,Schmidtfort
147,Mercedes Brennan,Operations,50,37270.0,14,3.59,True,New Charles
148,Robert Guerra,Sales,56,46226.0,3,4.82,True,Lake Robin
149,Jason Donaldson,Sales,34,70630.0,4,4.95,False,South Ashley
150,Christina Wells,Marketing,32,111874.0,12,1.35,False,Ashleehaven
151,Jennifer Brooks,Operations,39,94370.0,6,4.57,True,Andrewmouth
152,Mr. Juan Mendoza,Operations,31,131096.0,8,1.67,True,Woodborough
153,Carol Cooper,Engineering,46,121547.0,2,2.89,False,Hudsonborough
154,Margaret Lowery,Finance,47,74192.0,19,1.11,True,South Nathanborough
155,Diana Aguilar,HR,50,97122.0,19,3.96,False,Jessicafurt
156,Lisa Salas,Engineering,37,126177.0,20,1.77,False,Lake Joanberg
157,Jordan Holland,Operations,23,69127.0,2,3.48,False,Parrishview
158,Nicholas Contreras,Engineering,60,56204.0,7,,False,North Jacqueline
159,Christie Cummings,Operations,53,48341.0,3,4.36,True,Orrhaven
160,Megan Meyer,Operations,48,110819.0,5,3.2,False,Brownport
161,Mr. Edward Lowe,Sales,52,95415.0,13,1.44,False,South Brandon
162,Jason Wu,Sales,56,135566.0,15,4.08,False,Michaelstad
163,Margaret Mann,Finance,28,103443.0,20,3.36,True,Port Anitaburgh
164,Daniel Taylor,Marketing,46,127279.0,19,3.15,True,Charleschester
165,Paul Ramirez,Engineering,39,80902.0,18,4.19,False,New Crystalfurt
166,David Castillo,HR,39,85292.0,2,4.51,True,Monicaberg
167,Lisa Bryant,Operations,50,47784.0,4,4.12,False,Lesliechester
168,Ryan Powell,Operations,42,100038.0,10,2.93,True,East Melissabury
169,Jeremy Bell,HR,50,,15,4.68,True,South Kevin
170,Ashley Woods,Finance,47,129844.0,7,3.62,True,West Victoria
171,Cole Tapia,Operations,48,63425.0,12,1.91,False,Woodstad
172,Tony Rosales,Sales,47,92749.0,0,4.95,True,Woodsside
173,Michael Liu,Sales,59,73746.0,6,2.1,False,Parrishfort
174,Daniel Black,Operations,42,,12,2.02,True,Haasfort
175,Peter Peterson,Operations,28,61316.0,16,3.56,True,Martinport
176,Erik Henson,HR,50,64313.0,8,2.4,False,Lake Elizabethmouth
177,Meghan Reed,Marketing,40,105433.0,19,4.69,False,Lake Daleshire
178,Logan Barton,Operations,42,62560.0,0,2.99,True,Lake Melindabury
179,Michael Jones,HR,26,,14,3.99,False,South Danielborough
180,Brooke Smith,Sales,27,71748.0,16,4.47,False,East Amanda
181,Trevor Rivera,Sales,57,47054.0,20,4.5,True,Williamsview
182,Tara Sanchez,Marketing,40,103599.0,5,4.23,False,Lake Fernandoshire
183,Claudia Campos,HR,39,116485.0,0,3.17,True,North Kenneth
184,Jason Anderson,Sales,60,42316.0,8,1.53,False,Rodgersstad
185,Sarah Sanders,Engineering,47,115689.0,4,1.62,False,North Adammouth
186,Brandon Lewis,Marketing,27,58999.0,12,2.42,False,Kelseyton
187,John Henderson,Finance,32,58646.0,6,,False,Debrashire
188,Jennifer Villarreal,Sales,24,59240.0,4,2.32,True,Haydenshire
189,Sarah Wells,Marketing,34,46698.0,17,3.69,True,New Cassandrashire
190,Grant Vasquez,Engineering,28,131681.0,16,4.6,True,Williamshire
191,Lori Mcdonald,Finance,37,49365.0,2,1.99,False,Lake Meganberg
192,Sherri Smith,HR,24,97996.0,2,2.27,True,Burnettmouth
193,Christopher George,HR,51,95842.0,5,4.25,True,Warrenhaven
194,Willie Richardson,Marketing,26,,16,1.59,False,South Gerald
195,Summer Weber,Engineering,59,51774.0,4,1.17,False,Brianmouth
196,John Floyd,Sales,27,93212.0,17,,True,Port Craig
197,Zachary Walker,HR,56,114519.0,13,2.99,False,Micheleville
198,Brian Bradley,HR,53,48732.0,0,1.27,True,Port Nicholasborough
199,Donna Walsh,Sales,51,70414.0,7,,False,New Tiffanyfurt
200,David Coleman,HR,49,73581.0,20,4.47,False,New Jennifer
